CP,year,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,symbol,Cổ đông thiểu số,Doanh thu thuần,Lãi gộp,Thu nhập tài chính,Chi phí tài chính,Lãi/Lỗ từ hoạt động kinh doanh,Lợi nhuận khác,Chi phí bán hàng,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Giá vốn hàng bán,Lãi/lỗ từ công ty liên doanh
BVH,2024,42669681559583,5.956831746837611e-05,2110496926600,0.16904502779445874,,,,,,,,,,,,,,,-5724600399115,,,2663171477296,,-464527211119,-4475662847.0,2194168603330,2110496926600,,BVH,83671676730.0,39823175683648.0,-969112867855.0,12689327095724.0,-2115731389939.0,-8040512078455.0,26010917803.0,-1346798811485.0,29836692724.0,94085046978.0,-3825774921.0,,,,,
BVH,2023,42667139949845,0.0003899519197083114,1805317054880,0.16397409330196044,,,,,,,,,,,,,,,-4955068509491,,,2263431525645,,-378792911930,-3335621421.0,1881302992294,1805317054880,,BVH,75985937414.0,40085479193176.0,-2532319107166.0,13543366344269.0,-2826898758974.0,-8581413695556.0,35349424748.0,-1094026078899.0,39586150146.0,102048945174.0,-4236725398.0,,,,,
BVH,2022,42650508302256,0.0,1550994189019,0.0,,,,,,,,,,,,,,,-4019572408261,,,2010163563631,,-383042077773,-1515105473.0,1625606380385,1550994189019,,BVH,74612191366.0,40688247074927.0,104851183757.0,9922384516749.0,-1840260685326.0,-6196626596677.0,19285763472.0,-2281905372173.0,22160700664.0,86451708165.0,-2874937192.0,,,,,
BVH,2021,39999792780016,0.046980922501048746,1911694257420,0.1966125910206654,,,,,,,,,,,,,,,-3996411660861,,,2398034325409,,-387034915982,7414599023.0,2018414008450,1911694257420,,BVH,106719751030.0,36830138479863.0,613506546839.0,8911612242924.0,-1059722118833.0,-5648920188450.0,28644118166.0,-2266015074428.0,30723977395.0,92993746827.0,-2079859229.0,,,,,
BVH,2020,38204891722825,0.0667423648815013,1597588285269,0.3442513386807574,,,,,,,,,,,,,,,-3756517474608,,,1953285808059,,-267396475068,-36042360066.0,1649846972925,1597588285269,,BVH,52258687656.0,34524044284544.0,-2040914480867.0,9495658687333.0,-1841912602607.0,-5797431955475.0,11606822031.0,0.0,13517757652.0,70011972612.0,-1910935621.0,,,,,
CTG,2024,124460685000000,-0.06188998641059475,25348215000000,0.27355245672254447,124460685000000.0,-62057891000000.0,62402794000000.0,12232801000000.0,-5536813000000.0,6695988000000.0,4196682000000.0,91829000000.0,-288044000000.0,10687733000000.0,-2268947000000.0,8418786000000.0,390648000000.0,81908683000000.0,-22545929000000,59362754000000.0,-27598829000000.0,31763925000000,-6281358000000.0,-6285898000000,4540000000.0,25482567000000,25348215000000,4720.0,CTG,-134352000000.0,,,,,,,,,,,,,,,
CTG,2023,132671737000000,0.2675889833045229,19903550000000,0.17607382535464267,132671737000000.0,-79714259000000.0,52957478000000.0,12384836000000.0,-5271107000000.0,7113729000000.0,4248109000000.0,292626000000.0,-154121000000.0,7080218000000.0,-1277142000000.0,5803076000000.0,287268000000.0,70548165000000.0,-20443499000000,50104666000000.0,-25115141000000.0,24989525000000,-4944903000000.0,-4944844000000,-59000000.0,20044622000000,19903550000000,3200.0,CTG,-141072000000.0,,,,,,,,,,,,,,,
CTG,2022,104664634000000,0.2367568712414908,16923725000000,0.20122175407913825,104664634000000.0,-56872679000000.0,47791955000000.0,11549069000000.0,-5687120000000.0,5861949000000.0,3555521000000.0,-112163000000.0,-30184000000.0,7507011000000.0,-969157000000.0,6537854000000.0,512244000000.0,64117176000000.0,-19194714000000,44922462000000.0,-23790589000000.0,21131873000000,-4148228000000.0,-4147777000000,-451000000.0,16983645000000,16923725000000,2703.0,CTG,-59920000000.0,,,,,,,,,,,,,,,
CTG,2021,84628302000000,0.01137458925751641,14088760000000,0.026862432491883137,84628302000000.0,-42839837000000.0,41788465000000.0,9572678000000.0,-4612172000000.0,4960506000000.0,1812484000000.0,495864000000.0,223865000000.0,4516269000000.0,-1118203000000.0,3398066000000.0,477382000000.0,53156632000000.0,-17185850000000,35970782000000.0,-18381626000000.0,17589156000000,-3373814000000.0,-3412160000000,38346000000.0,14215342000000,14088760000000,2510.0,CTG,-126582000000.0,,,,,,,,,,,,,,,
CTG,2020,83676516000000,0.011284913337021309,13720202000000,0.4501442565778981,83676516000000.0,-48096888000000.0,35579628000000.0,8358635000000.0,-3996181000000.0,4362454000000.0,1999721000000.0,601275000000.0,360950000000.0,2714619000000.0,-785226000000.0,1929393000000.0,524038000000.0,45357459000000.0,-16069428000000,29288031000000.0,-12168215000000.0,17119816000000,-3334608000000.0,-3322056000000,-12552000000.0,13785208000000,13720202000000,3200.0,CTG,-65006000000.0,,,,,,,,,,,,,,,
