year,GDP,CPI,Unemployment,InterestRate,ExchangeRate,RetailSales
2020,346615738537.796,3.22093436652516,2.103,6.09064299683403,23208.3683333333,0.37999999999829
2021,366474752771.009,1.83471554810446,2.385,4.79218047283212,23159.7825925926,2.17045195694669
2022,413445230668.578,3.15650749963127,1.523,3.41861684479736,23271.2125,7.88000002158932
2023,433857681378.291,3.25289282667661,1.645,7.08136836215213,23787.3191666667,3.43093476043535
2024,476388230307.175,3.62109273885847,1.431,4.5,24164.8858333333,
