cp,year,shares_outstanding,close,eps,roa,roe,bvps,pe,pb,loi_nhuan_sau_thue_cua_co_dong_cong_ty_me_dong,tong_cong_tai_san_dong,von_chu_so_huu_dong
HPG,2021,4472922706.0,32.45,7708.191,0.193,0.38,20295.595,4.21,1.599,34478143197460,178236422358249,90780625511439
HPG,2020,3313282659.0,16.25,4059.509,0.102,0.227,17873.448,4.003,0.909,13450300052812,131511434388837,59219786306111
MBB,2024,5306324100.0,16.02,4265.431,0.02,0.193,22060.39,3.756,0.726,22633757000000,1128801062000000,117059581000000
MBB,2023,5214084100.0,11.62,3965.565,0.022,0.214,18548.063,2.93,0.626,20676788000000,944953640000000,96711159000000
MBB,2022,4533986100.0,9.59,3855.93,0.024,0.22,17559.211,2.487,0.546,17482735000000,728532373000000,79613219000000
MBB,2021,3778321800.0,12.23,3360.507,0.021,0.203,16538.036,3.639,0.74,12697075000000,607140419000000,62486023000000
MBB,2020,2798756900.0,6.1,2952.26,0.017,0.165,17900.624,2.066,0.341,8262659000000,494982162000000,50099495000000
MSN,2024,1512928100.0,73.5,1321.318,0.014,0.049,26936.098,55.626,2.729,1999059000000,147584718000000,40752380000000
MSN,2023,1430843400.0,61.7,292.621,0.003,0.011,26723.568,210.853,2.309,418695000000,147383472000000,38237241000000
MSN,2022,1423724800.0,98.2,2505.397,0.025,0.097,25733.02,39.195,3.816,3566996000000,141342815000000,36636739000000
MSN,2021,1180534700.0,133.18,7253.393,0.068,0.202,35862.268,18.361,3.714,8562882000000,126093471000000,42336652000000
MSN,2020,1174683200.0,68.38,1050.481,0.011,0.049,21308.11,65.094,3.209,1233982000000,115736562000000,25030279000000
MWG,2024,1462244177.0,57.87,2545.313,0.053,0.132,19231.793,22.736,3.009,3721868441661,70437775721604,28121576823855
MWG,2023,1463376716.0,41.71,114.577,0.003,0.007,15962.778,364.034,2.613,167669392704,60111237212724,23359557967338
MWG,2022,1463879280.0,46.35,2800.616,0.073,0.171,16348.74,16.55,2.835,4099763027305,55834095614049,23932581517576
MWG,2021,713065495.0,69.78,6870.153,0.078,0.24,28578.365,10.157,2.442,4898869278220,62971404814942,20378245999846
MWG,2020,453209987.0,34.16,8644.487,0.085,0.253,34160.081,3.952,1.0,3917767783159,46030879952454,15481689846432
NVL,2024,1950104538.0,10.55,-3309.966,-0.027,-0.136,24250.507,-3.187,0.435,-6454779904770,237777980657656,47291024358614
NVL,2023,1950104538.0,18.1,310.536,0.003,0.013,23230.985,58.286,0.779,605578220113,241486379543125,45302850042403
NVL,2022,1950104538.0,72.5,1108.695,0.008,0.048,22982.219,65.392,3.155,2162071222708,257734876168021,44817730380165
NVL,2021,1930421319.0,77.94,1670.458,0.016,0.078,21328.563,46.658,3.654,3224687028176,201833546986050,41173113331969
NVL,2020,986285297.0,35.5,3973.568,0.027,0.123,32376.177,8.934,1.096,3919071634099,144536345634022,31932147185707
PDR,2024,873140083.0,19.72,177.621,0.006,0.014,12665.217,111.023,1.557,155087685811,23985551811184,11058508658990
PDR,2023,738810840.0,22.42,925.891,0.032,0.071,12965.96,24.215,1.729,684058609709,21067822665509,9579391910713
PDR,2022,671646219.0,42.5,1693.247,0.05,0.123,13787.809,25.1,3.082,1137262912956,22843295507162,9260529767454
