cp,year,lailo_cac_hoat_dong_khac,luu_chuyen_tien_thuan_tu_hdkd_truoc_thay_doi_vld,luu_chuyen_tien_thuan_tu_hdkd_truoc_thue,chi_tu_cac_quy_cua_tctd,mua_sam_tscd,tien_thu_co_tuc_va_loi_nhuan_duoc_chia,luu_chuyen_tu_hoat_dong_dau_tu,tang_von_co_phan_tu_gop_von_vahoac_phat_hanh_co_phieu,luu_chuyen_tien_tu_hoat_dong_tai_chinh,luu_chuyen_tien_thuan_trong_ky,tien_va_tuong_duong_tien,anh_huong_cua_chenh_lech_ty_gia,tien_va_tuong_duong_tien_cuoi_ky,luu_chuyen_tien_te_rong_tu_cac_hoat_dong_sxkd,tien_thu_duoc_tu_thanh_ly_tai_san_co_dinh,dau_tu_vao_cac_doanh_nghiep_khac,tien_thu_tu_viec_ban_cac_khoan_dau_tu_vao_doanh_nghiep_khac,co_tuc_da_tra,symbol,lailo_rong_truoc_thue,khau_hao_tscd,du_phong_rr_tin_dung,lailo_chenh_lech_ty_gia_chua_thuc_hien,lailo_tu_hoat_dong_dau_tu,thu_nhap_lai,tanggiam_cac_khoan_phai_thu,tanggiam_hang_ton_kho,tanggiam_cac_khoan_phai_tra,tanggiam_chi_phi_tra_truoc,chi_phi_lai_vay_da_tra,tien_thu_nhap_doanh_nghiep_da_tra,tien_chi_khac_tu_cac_hoat_dong_kinh_doanh,tien_chi_cho_vay_mua_cong_cu_no_cua_don_vi_khac_dong,tien_thu_hoi_cho_vay_ban_lai_cac_cong_cu_no_cua_don_vi_khac_dong,chi_tra_cho_viec_mua_lai_tra_co_phieu,tien_thu_duoc_cac_khoan_di_vay,tien_tra_cac_khoan_di_vay,tien_thu_khac_tu_cac_hoat_dong_kinh_doanh,tien_thanh_toan_von_goc_di_thue_tai_chinh,co_tuc_da_nhan,lailo_tu_thanh_ly_tai_san_co_dinh,thu_lai_va_co_tuc,tanggiam_cac_khoan_phai_thu_2,tanggiam_cac_khoan_phai_tra_2
PLX,2022,0.0,5136164763611.0,0.0,0.0,-2120326212286,1338717647333,3004001402092,0,-2706284331450,5389480938904,6192497034229,24050953565.0,11606028926698,5091763868262,240946231572,0.0,11456443370,-1745540077268,PLX,2270127396278.0,2168347034003.0,-330850092745.0,30771697079.0,-1818236638776.0,644056268958.0,-4447132923679.0,-3914561991328.0,9905899638963.0,142238137469.0,-632180251380.0,-454879657355.0,-643783848039.0,-19910645623653.0,23443852915756.0,0.0,95830465664336.0,-96791209918518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLX,2021,0.0,1734526843780.0,0.0,0.0,-1649256443536,1021964336550,-4444791988075,2952954993225,685838600275,-4415275499622,10611737373774,-3964839923.0,6192497034229,-656322111822,394087841914,64511740837.0,0,-1619733228598,PLX,3789339721584.0,2248265002591.0,279968890376.0,68768489071.0,-1405725004999.0,602527447452.0,-838938801470.0,-3965004302441.0,3832204996992.0,28427493822.0,-627575450493.0,-415701573416.0,-409157160949.0,-24869474207991.0,20593374744151.0,0.0,69085427413000.0,-69732810577352.0,2577422353.0,0.0,0.0,0.0,0.0,0.0,0.0
PLX,2020,0.0,5222023016514.0,0.0,0.0,-1856667096437,1370871472966,-3842516278004,1342822007427,-2171077873921,-664229673030,11275206410674,760636130.0,10611737373774,5349364478895,82090590101,-127038478772.0,0,-3971129966069,PLX,1409580992044.0,2146848020219.0,56453899658.0,33000880854.0,-1350373623603.0,706153423148.0,1309877723914.0,2617517690037.0,-2303181407015.0,225427957559.0,-676261501768.0,-529160673977.0,-524335855958.0,-15911332904561.0,12599560138699.0,0.0,64510123954067.0,-64052893869346.0,7457529589.0,0.0,0.0,0.0,0.0,0.0,0.0
POW,2024,0.0,4282756307480.0,0.0,0.0,-9792927471645,541882196054,-10973380976762,21000000000,9754155607172,3124589714649,8439697613959,61236409.0,11564348565017,4343815084239,2475517704,0.0,0,-132353448916,POW,1383241166627.0,2818161656247.0,155269273171.0,134309782307.0,-589872207051.0,381646636179.0,3595706024817.0,391856285030.0,-2830835116161.0,-215897504127.0,-450679477899.0,-258708324717.0,-170392290184.0,-6452391588588.0,4727580369713.0,0.0,15799893040032.0,-5934383983944.0,9180000.0,0.0,0.0,0.0,0.0,0.0,0.0
POW,2023,0.0,5488501350175.0,0.0,0.0,-6312368226884,473105817414,-6485408169480,81900000000,3320878741467,187591543342,8251731998519,374072098.0,8439697613959,3352120971355,124902823533,-30000000000.0,0,-365053044540,POW,1442068034314.0,2808755417224.0,1361328008017.0,-10629794921.0,-677768954037.0,564748639578.0,-3490895796955.0,-20788523988.0,6224780469427.0,-3961662981705.0,-522534500400.0,-219902057214.0,-145379967985.0,-3071237790416.0,2330189206873.0,0.0,13107063893530.0,-9503032107523.0,2980000.0,0.0,0.0,0.0,0.0,0.0,0.0
POW,2022,0.0,5456202259794.0,0.0,0.0,-2601389455204,361408783641,-3373834135081,0,245486264177,28040632300,8223693034528,-1668309.0,8251731998519,3156388503204,1872213682,-21850000000.0,4718680000,-198870914499,POW,2809234173340.0,2809393991244.0,-192495906469.0,36370258283.0,-443826593401.0,437526336797.0,-4779132258875.0,-145522234864.0,1399054910828.0,1920950440544.0,-441185336920.0,-85856641570.0,-169036498659.0,-1661161357200.0,542567000000.0,0.0,8027461182658.0,-7583104003982.0,913862926.0,0.0,0.0,0.0,0.0,0.0,0.0
POW,2021,0.0,4485416473048.0,0.0,0.0,-285746698682,304771147002,562614714354,0,-4555347066809,1154001068622,7069700305112,-8339206.0,8223693034528,5146733421077,1945727273,-53369864147.0,525636630123,-710198848892,POW,2339300278897.0,2817966830053.0,-522141322998.0,-40636879981.0,-618716824288.0,509644391365.0,1741937232933.0,-391235453586.0,2056908109776.0,-1692655832110.0,-531842668922.0,-340177154167.0,-181642665895.0,-499599227215.0,568977000000.0,0.0,14980777529361.0,-18825925747278.0,25380000.0,0.0,0.0,0.0,0.0,0.0,0.0
POW,2020,0.0,7698312833482.0,0.0,0.0,-145573872673,374075946447,101078740703,125130000000,-6071316857243,1986418858467,5083277330894,4115751.0,7069700305112,7956656975007,3251078268,0.0,0,-1025180355668,POW,2875097434493.0,2823855462192.0,1571440776832.0,5525689260.0,-386841040474.0,809234511179.0,1294539596750.0,-240536582129.0,675813619975.0,-115704626160.0,-893368318908.0,-329771300000.0,-132651248003.0,-510674411339.0,380000000000.0,0.0,14184792268744.0,-19356058770319.0,23000000.0,0.0,0.0,0.0,0.0,0.0,0.0
SAB,2024,0.0,4980056230192.0,0.0,0.0,-296018278038,1387123683050,18884385322,0,-4943450227964,-562056274102,5039908030600,-350089172.0,4477501667326,4362509568540,3524838452,-954279098706.0,0,-4658550227964,SAB,5647358628166.0,548883626755.0,4315069033.0,580733992.0,-1248531376385.0,27449548631.0,13722096167.0,345459551432.0,208910758673.0,123176401221.0,-27622609286.0,-1156741713349.0,-124451146510.0,-20386135177101.0,20264668417665.0,0.0,2934074426368.0,-3218974426368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAB,2023,0.0,4376503974903.0,0.0,0.0,-283734894513,1363536248562,2550929318308,0,-3685025044212,970622531875,4069464160642,-178661917.0,5039908030600,2104718257779,2485031224,-164654149300.0,0,-3354092726063,SAB,5370410404295.0,570032022357.0,3417866623.0,8344264858.0,-1625915309149.0,50214725919.0,-39584410728.0,-135490197099.0,-622465452377.0,-146695187651.0,-50352399174.0,-1099769434435.0,-177428635660.0,-17562407857117.0,19195704939452.0,0.0,4130545304850.0,-4461477622999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
