cp,year,tong_cong_tai_san_dong,tien_va_tuong_duong_tien_dong,tien_gui_tai_ngan_hang_nha_nuoc_viet_nam,tien_gui_tai_cac_tctd_khac_va_cho_vay_cac_tctd_khac,chung_khoan_kinh_doanh,chung_khoan_kinh_doanh_2,du_phong_giam_gia_chung_khoan_kinh_doanh,cac_cong_cu_tai_chinh_phai_sinh_va_khoan_no_tai_chinh_khac,cho_vay_khach_hang,cho_vay_khach_hang_2,du_phong_rui_ro_cho_vay_khach_hang,chung_khoan_dau_tu,chung_khoan_dau_tu_san_sang_de_ban,chung_khoan_dau_tu_giu_den_ngay_dao_han,du_phong_giam_gia_chung_khoan_dau_tu,dau_tu_dai_han_dong,dau_tu_vao_cong_ty_lien_doanh,tai_san_dai_han_khac_dong,du_phong_giam_gia_dau_tu_dai_han,tai_san_co_dinh_dong,tai_san_co_dinh_huu_hinh,tai_san_co_dinh_vo_hinh,gia_tri_rong_tai_san_dau_tu,tai_san_co_khac,tong_cong_nguon_von_dong,no_phai_tra_dong,cac_khoan_no_chinh_phu_va_nhnn_viet_nam,tien_gui_va_vay_cac_to_chuc_tin_dung_khac,tien_gui_cua_khach_hang,cac_cong_cu_tai_chinh_phai_sinh_va_khoan_no_tai_chinh_khac_2,von_tai_tro_uy_thac_dau_tu_cua_cp_va_cac_to_chuc_td_khac,phat_hanh_giay_to_co_gia,cac_khoan_no_khac,von_chu_so_huu_dong,von_cua_to_chuc_tin_dung,quy_cua_to_chuc_tin_dung,lai_chua_phan_phoi_dong,von_gop_cua_chu_so_huu_dong,symbol,dau_tu_vao_cong_ty_con,tai_san_co_dinh_thue_tai_chinh,chenh_lech_ty_gia_hoi_doai,cac_quy_khac,loi_ich_cua_co_dong_thieu_so,tai_san_ngan_han_dong,gia_tri_thuan_dau_tu_ngan_han_dong,cac_khoan_phai_thu_ngan_han_dong,hang_ton_kho_rong,tai_san_luu_dong_khac,tai_san_dai_han_dong,phai_thu_dai_han_dong,tai_san_dai_han_khac,no_ngan_han_dong,no_dai_han_dong,von_va_cac_quy_dong,co_dong_thieu_so,tra_truoc_cho_nguoi_ban_ngan_han_dong,phai_thu_ve_cho_vay_ngan_han_dong,hang_ton_kho_rong_dong,tai_san_luu_dong_khac_dong,quy_dau_tu_va_phat_trien_dong,co_phieu_pho_thong_dong,vay_va_no_thue_tai_chinh_dai_han_dong,nguoi_mua_tra_tien_truoc_ngan_han_dong,vay_va_no_thue_tai_chinh_ngan_han_dong,tra_truoc_dai_han_dong,phai_thu_dai_han_khac_dong,phai_thu_ve_cho_vay_dai_han_dong,loi_the_thuong_mai,von_ngan_sach_nha_nuoc_va_quy_khac,loi_the_thuong_mai_dong,trai_phieu_chuyen_doi_dong,chenh_lech_danh_gia_lai_tai_san
POW,2021,52976917956925,8223693034528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827903601323,0.0,413573456500.0,0.0,31868871223944,0.0,0.0,0.0,0.0,52976917956925,21851540246332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31125377710593,0.0,0.0,3010430220648,23418716000000,POW,0.0,0.0,0.0,225720372645.0,2487533521393.0,18420179698256.0,531217428970.0,5799389305021.0,1837762461182.0,2028117468555.0,34556738258669.0,298163000.0,1454244582221.0,16811277946288.0,5040262300044.0,31125377710593.0,0.0,182098259326.0,0.0,1837762461182.0,0.0,2174558130932.0,23418716000000.0,3689315873178.0,5605664403.0,4768503650670.0,649881386297.0,298163000.0,0.0,0.0,0.0,0.0,0.0,0.0
POW,2020,54050146599573,7069700305112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027824922471,0.0,604520976073.0,0.0,34614390170422,0.0,0.0,0.0,0.0,54050146599573,22783553220099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31266593379474,0.0,0.0,4302230689261,23418716000000,POW,0.0,0.0,0.0,225662145738.0,2729348494189.0,16897192989427.0,788595201755.0,7195677600318.0,1727999115630.0,115220766612.0,37152953610146.0,3262294619.0,1256488575389.0,16479836233321.0,6303716986778.0,31266593379474.0,0.0,97118304273.0,0.0,1736252781133.0,0.0,782216585311.0,23418716000000.0,5391220150825.0,22183434489.0,7018700714605.0,564711042501.0,1993853825.0,0.0,0.0,0.0,2065181465.0,0.0,0.0
SAB,2024,33439406364651,4477501667326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3672561077153,0.0,410929271916.0,0.0,3593253846771,0.0,0.0,268304664076.0,0.0,33439406364651,9002313181979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24437093182672,0.0,0.0,9217801321446,12825623720000,SAB,0.0,0.0,0.0,3208666226.0,1154973247501.0,25066732804106.0,16566239177101.0,1818472380110.0,1978543927286.0,225975652283.0,8372673560545.0,33965243693.0,682574707770.0,8657140531800.0,345172650179.0,24437093182672.0,0.0,48390695221.0,0.0,2042852750470.0,0.0,1181709861073.0,12825623720000.0,169444430406.0,94511172026.0,245383983749.0,455034726932.0,34416343693.0,0.0,0.0,0.0,0.0,0.0,0.0
SAB,2023,34056624839705,5039908030600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2287392366503,0.0,434314271916.0,0.0,3969724119615,0.0,0.0,279064752080.0,0.0,34056624839705,8571466944838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25485157894867,0.0,0.0,10217284050181,12825623720000,SAB,0.0,0.0,0.0,3208666226.0,1272845884034.0,26553405591714.0,17741052417665.0,1229401278553.0,2317504988808.0,225538876088.0,7503219247991.0,34701581051.0,788417120457.0,8224608450196.0,346858494642.0,25485157894867.0,0.0,33281517536.0,0.0,2393084700363.0,0.0,1122241373127.0,12825623720000.0,170828414155.0,44800935324.0,530129396183.0,550304398466.0,35152681051.0,0.0,0.0,0.0,0.0,0.0,0.0
SAB,2022,34465075615756,4069464160642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2214115381757,0.0,434314271916.0,0.0,4454982147731,0.0,0.0,153128987010.0,0.0,34465075615756,9874229696363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24590845919393,0.0,0.0,15564895669872,6412811860000,SAB,0.0,0.0,0.0,3208666226.0,1450551977121.0,26860224573663.0,19411469500000.0,897692694315.0,2193521139336.0,288077079370.0,7604851042093.0,37720028871.0,611356317724.0,9213862412096.0,660367284267.0,24590845919393.0,0.0,68059544421.0,0.0,2272494533814.0,0.0,1122241373127.0,6412811860000.0,374432513250.0,36931211976.0,658625815321.0,383451267863.0,46171128871.0,0.0,0.0,0.0,0.0,0.0,0.0
SAB,2021,30487024372425,3606454403209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2125162874416,0.0,434314271916.0,0.0,4401799818086,0.0,0.0,41270248842.0,0.0,30487024372425,7892238669264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22594785703161,0.0,0.0,13655871142263,6412811860000,SAB,0.0,0.0,0.0,3208666226.0,1373313368684.0,22877033322264.0,16991239000000.0,467956130071.0,1668001734209.0,143382054775.0,7609991050161.0,12640850386.0,477646364587.0,7258020535153.0,634218134111.0,22594785703161.0,0.0,29859261503.0,0.0,1755711816417.0,0.0,1122241373127.0,6412811860000.0,341226010423.0,63252571190.0,321746371972.0,263131483984.0,41960830291.0,4000000000.0,0.0,0.0,0.0,0.0,0.0
SAB,2020,27374972775358,2726137088387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2351285997476,0.0,665885700116.0,0.0,4874503649521,0.0,0.0,65173748670.0,0.0,27374972775358,6159696384430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21215276390928,0.0,0.0,12374498805733,6412811860000,SAB,0.0,0.0,0.0,3208666226.0,1275045554465.0,19513381452440.0,14547419432877.0,590846416109.0,1446832994933.0,202145520134.0,7861591322918.0,11958390566.0,530530707659.0,5173043219872.0,986653164558.0,21215276390928.0,0.0,164204071490.0,0.0,1525038920678.0,0.0,1122846170630.0,6412811860000.0,526263958457.0,64714811339.0,448791959859.0,330639468712.0,41278370471.0,4000000000.0,0.0,0.0,0.0,0.0,0.0
SHB,2024,747478069000000,1563509000000,27436936000000.0,117348823000000.0,4910456000000.0,4949608000000.0,-39152000000.0,0.0,511153150000000.0,519949991000000.0,-8796841000000.0,32335975000000.0,14956915000000.0,17812962000000.0,-433902000000.0,441291000000,370014000000.0,158272000000.0,-86995000000.0,5328025000000,826882000000.0,4501143000000.0,0.0,46959904000000.0,747478069000000,689410725000000,1242864000000.0,134090990000000.0,499896571000000.0,61927000000.0,1429650000000.0,39248195000000.0,13440528000000.0,58067344000000,38073428000000.0,7191833000000.0,13333023000000,36629085000000,SHB,0.0,0.0,-530940000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHB,2023,630500685000000,1370849000000,54763646000000.0,63548928000000.0,7792742000000.0,7853152000000.0,-60410000000.0,0.0,429362729000000.0,438464147000000.0,-9101418000000.0,32063660000000.0,14373759000000.0,17833636000000.0,-143735000000.0,414448000000,343172000000.0,158272000000.0,-86996000000.0,5229416000000,734978000000.0,4494438000000.0,0.0,35954267000000.0,630500685000000,580402405000000,1333658000000.0,70766294000000.0,447503426000000.0,97152000000.0,1611235000000.0,42821727000000.0,16268913000000.0,50098280000000,37638324000000.0,5138098000000.0,8010896000000,36193981000000,SHB,0.0,0.0,-689038000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHB,2022,542428085000000,1897545000000,15145862000000.0,63008862000000.0,1547000000.0,3881000000.0,-2334000000.0,269772000000.0,378575443000000.0,385633215000000.0,-7057772000000.0,32954676000000.0,12988616000000.0,20063662000000.0,-97602000000.0,46699000000,0.0,158272000000.0,-111573000000.0,4954396000000,502854000000.0,4451542000000.0,0.0,45573283000000.0,542428085000000,499523614000000,9715193000000.0,78283936000000.0,361675593000000.0,0.0,1615605000000.0,36440208000000.0,11793079000000.0,42904471000000,32118175000000.0,4061834000000.0,7330806000000,30673832000000,SHB,0.0,0.0,-606344000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
